id,name,description,category,brand,price_range,rating
S003,Wilson Evolution Indoor Basketball,Microfiber composite leather cover with exclusive Cushion Core technology for consistent feel and superior grip in indoor play.,Sports,Wilson,Mid-Range,4.8
S004,Trek FX 3 Disc Hybrid Bicycle,Versatile performance bike with hydraulic disc brakes Alpha Gold aluminum frame and puncture-resistant tires for urban commuting.,Sports,Trek,Premium,4.6
S005,TRX ALL-IN-ONE Suspension Trainer,Bodyweight suspension training system for full-body workouts anywhere used by military pro athletes and fitness enthusiasts.,Sports,TRX,Mid-Range,4.6
S006,Garmin Forerunner 265 GPS Running Watch,AMOLED display advanced running dynamics daily training readiness scores and HRV status for optimized performance.,Sports,Garmin,Premium,4.6
S007,Callaway Strata Golf Complete Set,12-piece set including driver fairway wood hybrids irons and putter for beginner to intermediate golfers seeking distance and forgiveness.,Sports,Callaway,Mid-Range,4.5
S008,Hydro Flask 32oz Wide Mouth Water Bottle,TempShield double-wall vacuum insulation keeps beverages cold 24 hours hot 12 hours with a leakproof lid for active lifestyles.,Sports,Hydro Flask,Mid-Range,4.8
S009,Resistance Band Set with Handles,5 resistance levels from 10-50 lbs with foam handles door anchor and ankle straps for versatile home strength training.,Sports,Fit Simplify,Budget,4.5
S010,Osprey Atmos AG 65 Backpacking Pack,Anti-Gravity suspension system LightWire peripheral frame and adjustable harness for ultralight comfort on multi-day hikes.,Sports,Osprey,Premium,4.8
H001,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Pressure cooker slow cooker rice cooker steamer saute yogurt maker and warmer in one appliance with 13 customizable programs.,Home & Kitchen,Instant Pot,Mid-Range,4.7
H002,Dyson V15 Detect Cordless Vacuum,Laser dust detection reveals invisible dust 60-minute runtime HEPA filtration captures 99.97% of particles for deep whole-home cleaning.,Home & Kitchen,Dyson,Premium,4.7
H003,KitchenAid Artisan Stand Mixer 5-Qt,10-speed motor with 59 touchpoints in the bowl compatible with 80+ attachments including pasta maker meat grinder and ice cream maker.,Home & Kitchen,KitchenAid,Premium,4.8
H004,Philips Hue Smart LED Starter Kit,16 million colors works with Alexa Google and Apple HomeKit schedule lighting scenes and control from anywhere with the Hue app.,Home & Kitchen,Philips,Mid-Range,4.6
H005,Vitamix 5200 Blender Professional Grade,2+ HP motor aircraft-grade stainless steel blades and variable speed control for smoothies soups nut butters and more.,Home & Kitchen,Vitamix,Premium,4.8
H006,Nespresso Vertuo Next Coffee Machine,Centrifusion extraction technology reads barcodes for perfect brew parameters makes Espresso to Alto coffees from 5 sizes with rich crema.,Home & Kitchen,Nespresso,Mid-Range,4.6
H007,All-Clad D3 Stainless 10-Piece Cookware Set,Tri-ply construction with aluminum core for even heat distribution oven safe to 600F dishwasher safe professional-grade cookware.,Home & Kitchen,All-Clad,Premium,4.7
H008,iRobot Roomba j7+ Self-Emptying Robot Vacuum,Smart mapping with PrecisionVision navigation avoids obstacles self-empties for up to 60 days and learns your home over time.,Home & Kitchen,iRobot,Premium,4.5
H009,Weber Spirit II E-310 Gas Grill,Three burners with 529 sq in of cooking area GS4 grilling system with infinity ignition and iGrill 3 compatible for outdoor grilling.,Home & Kitchen,Weber,Premium,4.6
H010,Cuisinart 14-Cup Food Processor,720W motor extra-large feed tube touchpad controls and includes chopping blade slicing and shredding discs for effortless food prep.,Home & Kitchen,Cuisinart,Mid-Range,4.5
